JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2400106.0,10.7,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400112.0,10.0,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400113.0,9.8,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400114.0,9.8,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400119.0,9.5,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400121.0,9.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400123.0,9.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400124.0,9.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400135.0,8.7,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400164.0,8.3,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400168.0,8.1,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400170.0,8.2,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400171.0,8.1,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400177.0,8.0,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400178.0,7.8,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400185.0,7.9,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400186.0,8.0,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
2400187.0,8.0,,,Vis.,SNX,,NA,,NA,1900ANHAR-33-82.  ENTERED BY PKV.,,,Z,,,,R AND,,STD,,1900AnHar..33...75P,PKV,
