JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2412133.65,6.31,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412147.66,6.11,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412425.5,9.04,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412510.58,6.62,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412524.5,6.98,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412536.55,7.22,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412543.57,7.32,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412552.54,7.62,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412765.86,9.04,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412775.7,8.93,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412783.85,9.12,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412798.68,9.07,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412890.68,6.62,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2412918.58,6.83,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413112.81,9.96,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413136.81,10.11,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413159.63,10.21,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413166.84,10.21,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413182.64,9.46,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413190.84,9.72,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413488.62,9.66,,,Vis.,AWK,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413525.6,9.33,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413548.6,9.87,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413548.62,9.72,,,Vis.,HCO,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413612.65,7.68,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413931.6,9.21,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413948.67,9.14,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413972.52,7.38,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
